,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,23.0,0.017354399999021553,"[5, 3, 4, 0, 7, 1, 3, 5]",150,0.4,2048
1,1,26.0,0.049913099996047094,"[3, 6, 0, 7, 2, 7, 5, 1]",150,0.4,2048
2,2,26.0,0.13242629999876954,"[3, 6, 0, 7, 2, 7, 5, 1]",150,0.4,2048
3,4,26.0,0.21779650000098627,"[3, 6, 0, 7, 2, 7, 5, 1]",150,0.4,2048
4,8,26.0,0.381927700000233,"[3, 6, 0, 7, 2, 7, 5, 1]",150,0.4,2048
5,16,27.0,0.7202844999992521,"[3, 1, 7, 2, 0, 6, 4, 1]",150,0.4,2048
6,32,27.0,1.5078547000011895,"[3, 1, 7, 2, 0, 6, 4, 1]",150,0.4,2048
7,64,28.0,3.4055063999985578,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
8,128,28.0,7.1127994999988005,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
9,256,28.0,13.910694500002137,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
10,512,28.0,27.65718129999732,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
11,1024,28.0,48.65008249999664,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
12,2048,28.0,48.99236599999858,"[3, 1, 6, 2, 5, 7, 4, 0]",150,0.4,2048
