,0,1,per
9,374,13.0,28.76923076923077
17,2532,89.0,28.44943820224719
11,4330,208.0,20.817307692307693
1,918,51.0,18.0
6,960,75.0,12.8
2,4304,351.0,12.262108262108262
13,523,44.0,11.886363636363637
8,627,62.0,10.112903225806452
16,138,17.0,8.117647058823529
0,925,115.0,8.043478260869565
12,957,175.0,5.468571428571429
14,353,127.0,2.779527559055118
4,482,189.0,2.5502645502645502
15,337,170.0,1.9823529411764707
10,260,192.0,1.3541666666666667
18,927,724.0,1.2803867403314917
7,3832,3134.0,1.2227185705169112
5,1815,1751.0,1.036550542547116
19,240,233.0,1.0300429184549356
3,7,,
